,macid,tt,hr,br,temp,local
10276,54:6c:0e:d0:34:28,2021-11-20 15:23:16,0,0,2741,c003
10277,54:6c:0e:d0:34:28,2021-11-20 15:23:17,0,0,2740,c003
10278,54:6c:0e:d0:34:28,2021-11-20 15:23:18,0,0,2742,c003
10279,54:6c:0e:d0:34:28,2021-11-20 15:23:19,0,0,2742,c003
10280,54:6c:0e:d0:34:28,2021-11-20 15:23:20,0,0,2741,c003
10281,54:6c:0e:d0:34:28,2021-11-20 15:23:21,0,0,2741,c003
10282,54:6c:0e:d0:34:28,2021-11-20 15:23:22,0,0,2741,c003
10283,54:6c:0e:d0:34:28,2021-11-20 15:23:23,0,0,2741,c003
10284,54:6c:0e:d0:34:28,2021-11-20 15:23:24,0,0,2741,c003
10285,54:6c:0e:d0:34:28,2021-11-20 15:23:25,0,0,2740,c003
10286,54:6c:0e:d0:34:28,2021-11-20 15:23:26,0,0,2740,c003
10287,54:6c:0e:d0:34:28,2021-11-20 15:23:27,0,0,2740,c003
10288,54:6c:0e:d0:34:28,2021-11-20 15:23:28,0,0,2740,c003
10289,54:6c:0e:d0:34:28,2021-11-20 15:23:29,0,0,2740,c003
10290,54:6c:0e:d0:34:28,2021-11-20 15:23:30,0,0,2740,c003
10291,54:6c:0e:d0:34:28,2021-11-20 15:23:31,0,0,2741,c003
10292,54:6c:0e:d0:34:28,2021-11-20 15:23:32,0,0,2740,c003
10293,54:6c:0e:d0:34:28,2021-11-20 15:23:33,0,0,2740,c003
10294,54:6c:0e:d0:34:28,2021-11-20 15:23:34,0,0,2740,c003
10295,54:6c:0e:d0:34:28,2021-11-20 15:23:35,0,0,2739,c003
10296,54:6c:0e:d0:34:28,2021-11-20 15:23:36,0,0,2740,c003
10297,54:6c:0e:d0:34:28,2021-11-20 15:23:37,0,0,2740,c003
10298,54:6c:0e:d0:34:28,2021-11-20 15:23:38,0,0,2739,c003
10299,54:6c:0e:d0:34:28,2021-11-20 15:23:39,0,0,2740,c003
10300,54:6c:0e:d0:34:28,2021-11-20 15:23:40,0,0,2739,c003
10301,54:6c:0e:d0:34:28,2021-11-20 15:23:41,0,0,2739,c003
10302,54:6c:0e:d0:34:28,2021-11-20 15:23:42,0,0,2740,c003
10303,54:6c:0e:d0:34:28,2021-11-20 15:23:43,0,0,2739,c003
10304,54:6c:0e:d0:34:28,2021-11-20 15:23:44,0,0,2739,c003
10305,54:6c:0e:d0:34:28,2021-11-20 15:23:45,0,0,2739,c003
10306,54:6c:0e:d0:34:28,2021-11-20 15:23:46,0,0,2739,c003
10307,54:6c:0e:d0:34:28,2021-11-20 15:23:47,0,0,2738,c003
10308,54:6c:0e:d0:34:28,2021-11-20 15:23:48,0,0,2739,c003
10309,54:6c:0e:d0:34:28,2021-11-20 15:23:49,0,0,2739,c003
10310,54:6c:0e:d0:34:28,2021-11-20 15:23:50,0,0,2739,c003
10311,54:6c:0e:d0:34:28,2021-11-20 15:23:51,0,0,2739,c003
10312,54:6c:0e:d0:34:28,2021-11-20 15:23:52,0,0,2738,c003
10313,54:6c:0e:d0:34:28,2021-11-20 15:23:53,0,0,2739,c003
10314,54:6c:0e:d0:34:28,2021-11-20 15:23:54,0,0,2738,c003
10315,54:6c:0e:d0:34:28,2021-11-20 15:23:55,0,0,2738,c003
10316,54:6c:0e:d0:34:28,2021-11-20 15:23:56,0,0,2738,c003
10317,54:6c:0e:d0:34:28,2021-11-20 15:23:57,0,0,2738,c003
10318,54:6c:0e:d0:34:28,2021-11-20 15:23:58,0,0,2738,c003
10319,54:6c:0e:d0:34:28,2021-11-20 15:23:59,0,0,2738,c003
10320,54:6c:0e:d0:34:28,2021-11-20 15:24:00,0,0,2738,c003
10321,54:6c:0e:d0:34:28,2021-11-20 15:24:01,0,0,2738,c003
10322,54:6c:0e:d0:34:28,2021-11-20 15:24:02,0,0,2738,c003
10323,54:6c:0e:d0:34:28,2021-11-20 15:24:03,0,0,2737,c003
10324,54:6c:0e:d0:34:28,2021-11-20 15:24:04,0,0,2738,c003
10325,54:6c:0e:d0:34:28,2021-11-20 15:24:05,0,0,2738,c003
10326,54:6c:0e:d0:34:28,2021-11-20 15:24:06,0,0,2738,c003
10327,54:6c:0e:d0:34:28,2021-11-20 15:24:07,0,0,2738,c003
10328,54:6c:0e:d0:34:28,2021-11-20 15:24:08,0,0,2737,c003
10329,54:6c:0e:d0:34:28,2021-11-20 15:24:09,0,0,2738,c003
10330,54:6c:0e:d0:34:28,2021-11-20 15:24:10,0,0,2737,c003
10331,54:6c:0e:d0:34:28,2021-11-20 15:24:11,0,0,2736,c003
10332,54:6c:0e:d0:34:28,2021-11-20 15:24:12,0,0,2737,c003
10333,54:6c:0e:d0:34:28,2021-11-20 15:24:13,0,0,2737,c003
10334,54:6c:0e:d0:34:28,2021-11-20 15:24:14,0,0,2737,c003
10335,54:6c:0e:d0:34:28,2021-11-20 15:24:15,0,0,2737,c003
10336,54:6c:0e:d0:34:28,2021-11-20 15:24:16,0,0,2737,c003
10337,54:6c:0e:d0:34:28,2021-11-20 15:24:17,0,0,2737,c003
10338,54:6c:0e:d0:34:28,2021-11-20 15:24:18,0,0,2736,c003
10339,54:6c:0e:d0:34:28,2021-11-20 15:24:19,0,0,2737,c003
10340,54:6c:0e:d0:34:28,2021-11-20 15:24:20,0,0,2737,c003
10341,54:6c:0e:d0:34:28,2021-11-20 15:24:21,0,0,2737,c003
10342,54:6c:0e:d0:34:28,2021-11-20 15:24:22,0,0,2736,c003
